Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
5/5/2004,1119.550049,1125.069946,1117.900024,1121.530029,1469000000,7.169922,1129.936669,1128.764795,0,D
5/6/2004,1121.530029,1121.530029,1106.300049,1113.98999,1509300000,15.22998,1128.309524,1128.171194,0,D
5/7/2004,1113.98999,1117.300049,1098.630005,1098.699951,1653600000,18.670044,1126.317615,1127.246992,0,D
5/10/2004,1098.699951,1098.699951,1079.630005,1087.119995,1918400000,19.069946,1123.831903,1126.090593,0,U
5/11/2004,1087.119995,1095.689941,1087.119995,1095.449951,1533800000,8.569946,1121.462856,1124.880193,0,U
5/12/2004,1095.449951,1097.550049,1076.319946,1097.280029,1697600000,21.230103,1119.931431,1123.843794,1,D
5/13/2004,1097.280029,1102.77002,1091.76001,1096.439941,1411100000,11.01001,1118.420474,1122.751992,0,D
5/14/2004,1096.439941,1102.099976,1088.23999,1095.699951,1335900000,13.859986,1116.842378,1121.568591,0,D
5/17/2004,1095.699951,1095.699951,1079.359985,1084.099976,1430100000,16.339966,1114.43714,1120.113391,0,U
5/18/2004,1084.099976,1094.099976,1084.099976,1091.48999,1353000000,10,1112.326189,1118.999192,0,D
5/19/2004,1091.48999,1105.930054,1088.48999,1088.680054,1548600000,17.440064,1110.922857,1117.961194,0,U
5/20/2004,1088.680054,1092.619995,1085.430054,1089.189941,1211000000,7.189941,1109.260951,1117.267192,0,U
5/21/2004,1089.189941,1099.640015,1089.189941,1093.560059,1258600000,10.450074,1107.052856,1117.002793,0,U
5/24/2004,1093.560059,1101.280029,1091.77002,1095.410034,1227500000,9.510009,1104.900954,1116.499595,0,U
5/25/2004,1095.410034,1113.800049,1090.73999,1113.050049,1545700000,23.060059,1103.830479,1116.670796,1,U
5/26/2004,1113.050049,1116.709961,1109.910034,1114.939941,1369400000,6.799927,1102.727144,1116.755596,0,U
